model|var_def|population|Parameter|Estimate|LowerCL|UpperCL
no_cci#all|def01|prev_2015|Intercept|0.056422381|0.054093284|0.058751477
no_cci#all|def01|prev_2015|def01_01  1|0.293609825|0.288708149|0.298511501
no_cci#all|def01|prev_2015|def01_01  0|0.000000000||
no_cci#all|def01|prev_2015|def01_02  1|0.121737838|0.117267187|0.126208489
no_cci#all|def01|prev_2015|def01_02  0|0.000000000||
no_cci#all|def01|prev_2015|def01_03  1|0.316335340|0.306963075|0.325707604
no_cci#all|def01|prev_2015|def01_03  0|0.000000000||
no_cci#all|def01|prev_2015|def01_04  1|0.275138222|0.265354058|0.284922386
no_cci#all|def01|prev_2015|def01_04  0|0.000000000||
no_cci#all|def01|prev_2015|def01_05  1|0.386981473|0.370274920|0.403688025
no_cci#all|def01|prev_2015|def01_05  0|0.000000000||
no_cci#all|def01|prev_2015|def01_06  1|0.867505951|0.861781677|0.873230225
no_cci#all|def01|prev_2015|def01_06  0|0.000000000||
no_cci#all|def01|prev_2015|def01_07  1|0.203546486|0.199810785|0.207282187
no_cci#all|def01|prev_2015|def01_07  0|0.000000000||
no_cci#all|def01|prev_2015|def01_08  1|0.033540657|0.029219519|0.037861795
no_cci#all|def01|prev_2015|def01_08  0|0.000000000||
no_cci#all|def01|prev_2015|def01_09  1|0.185099881|0.178339319|0.191860443
no_cci#all|def01|prev_2015|def01_09  0|0.000000000||
no_cci#all|def01|prev_2015|def01_10  1|0.305948149|0.294863141|0.317033157
no_cci#all|def01|prev_2015|def01_10  0|0.000000000||
no_cci#all|def01|prev_2015|def01_11  1|0.322140814|0.316485887|0.327795741
no_cci#all|def01|prev_2015|def01_11  0|0.000000000||
no_cci#all|def01|prev_2015|def01_12  1|0.055624736|0.051229208|0.060020264
no_cci#all|def01|prev_2015|def01_12  0|0.000000000||
no_cci#all|def01|prev_2015|def01_13  1|0.140060524|0.131662153|0.148458895
no_cci#all|def01|prev_2015|def01_13  0|0.000000000||
no_cci#all|def01|prev_2015|def01_14  1|0.175337028|0.165952235|0.184721820
no_cci#all|def01|prev_2015|def01_14  0|0.000000000||
no_cci#all|def01|prev_2015|def01_15  1|0.572978049|0.560984433|0.584971665
no_cci#all|def01|prev_2015|def01_15  0|0.000000000||
no_cci#all|def01|prev_2015|def01_16  1|0.340229248|0.324122954|0.356335542
no_cci#all|def01|prev_2015|def01_16  0|0.000000000||
no_cci#all|def01|prev_2015|def01_17  1|0.548386829|0.524259094|0.572514565
no_cci#all|def01|prev_2015|def01_17  0|0.000000000||
no_cci#all|def01|prev_2015|def01_18  1|0.580360301|0.568556342|0.592164260
no_cci#all|def01|prev_2015|def01_18  0|0.000000000||
no_cci#all|def01|prev_2015|def01_19  1|0.091705111|0.085619797|0.097790426
no_cci#all|def01|prev_2015|def01_19  0|0.000000000||
no_cci#all|def01|prev_2015|def01_20  1|0.313990109|0.307127581|0.320852637
no_cci#all|def01|prev_2015|def01_20  0|0.000000000||
no_cci#all|def01|prev_2015|def01_21  1|0.580406034|0.574252817|0.586559252
no_cci#all|def01|prev_2015|def01_21  0|0.000000000||
no_cci#all|def01|prev_2015|def01_22  1|0.105065917|0.100539030|0.109592805
no_cci#all|def01|prev_2015|def01_22  0|0.000000000||
no_cci#all|def01|prev_2015|def01_23  1|0.058743677|0.055260933|0.062226422
no_cci#all|def01|prev_2015|def01_23  0|0.000000000||
no_cci#all|def01|prev_2015|def01_24  1|0.337871611|0.334002833|0.341740389
no_cci#all|def01|prev_2015|def01_24  0|0.000000000||
no_cci#all|def01|prev_2015|def01_25  1|0.061892741|0.058801918|0.064983565
no_cci#all|def01|prev_2015|def01_25  0|0.000000000||
no_cci#all|def01|prev_2015|male      1|-0.030976603|-0.032453173|-0.029500034
no_cci#all|def01|prev_2015|male      0|0.000000000||
no_cci#all|def01|prev_2015|age_g     1|-0.007789032|-0.010810778|-0.004767287
no_cci#all|def01|prev_2015|age_g     2|0.008436860|0.005440111|0.011433610
no_cci#all|def01|prev_2015|age_g     3|0.027133222|0.024082423|0.030184021
no_cci#all|def01|prev_2015|age_g     4|0.036441063|0.033497786|0.039384340
no_cci#all|def01|prev_2015|age_g     5|0.087548102|0.084548489|0.090547716
no_cci#all|def01|prev_2015|age_g     6|0.190774914|0.187700411|0.193849418
no_cci#all|def01|prev_2015|age_g     7|0.347327354|0.343862418|0.350792290
no_cci#all|def01|prev_2015|age_g     8|0.801694222|0.797003716|0.806384728
no_cci#all|def01|prev_2015|age_g     9|1.838580851|1.829789097|1.847372606
no_cci#all|def01|prev_2015|age_g     0|0.000000000||
no_cci#sens|def01|prev_2015|Intercept|0.054919466|0.053749912|0.056089019
no_cci#sens|def01|prev_2015|def01_01  1|0.162046582|0.159533139|0.164560026
no_cci#sens|def01|prev_2015|def01_01  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_02  1|0.098227728|0.095959782|0.100495675
no_cci#sens|def01|prev_2015|def01_02  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_03  1|0.176883558|0.172053755|0.181713362
no_cci#sens|def01|prev_2015|def01_03  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_04  1|0.175366824|0.170363900|0.180369747
no_cci#sens|def01|prev_2015|def01_04  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_05  1|0.241916816|0.233354586|0.250479047
no_cci#sens|def01|prev_2015|def01_05  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_06  1|0.263687273|0.260572534|0.266802011
no_cci#sens|def01|prev_2015|def01_06  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_07  1|0.122282216|0.120371252|0.124193180
no_cci#sens|def01|prev_2015|def01_07  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_08  1|0.028284578|0.026107642|0.030461514
no_cci#sens|def01|prev_2015|def01_08  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_09  1|0.084402073|0.080954397|0.087849748
no_cci#sens|def01|prev_2015|def01_09  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_10  1|0.086605661|0.080987466|0.092223857
no_cci#sens|def01|prev_2015|def01_10  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_11  1|0.153435273|0.150527852|0.156342694
no_cci#sens|def01|prev_2015|def01_11  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_12  1|0.065938876|0.063723679|0.068154072
no_cci#sens|def01|prev_2015|def01_12  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_13  1|0.070193930|0.065931067|0.074456793
no_cci#sens|def01|prev_2015|def01_13  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_14  1|0.080141452|0.075363710|0.084919194
no_cci#sens|def01|prev_2015|def01_14  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_15  1|0.356489647|0.350340203|0.362639091
no_cci#sens|def01|prev_2015|def01_15  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_16  1|0.188226607|0.179997431|0.196455782
no_cci#sens|def01|prev_2015|def01_16  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_17  1|0.211366125|0.198757681|0.223974569
no_cci#sens|def01|prev_2015|def01_17  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_18  1|0.293123446|0.286872620|0.299374272
no_cci#sens|def01|prev_2015|def01_18  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_19  1|0.056720457|0.053633066|0.059807847
no_cci#sens|def01|prev_2015|def01_19  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_20  1|0.228896471|0.225383014|0.232409928
no_cci#sens|def01|prev_2015|def01_20  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_21  1|0.243852533|0.240682940|0.247022126
no_cci#sens|def01|prev_2015|def01_21  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_22  1|0.101366304|0.099082004|0.103650604
no_cci#sens|def01|prev_2015|def01_22  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_23  1|0.053863702|0.052102795|0.055624609
no_cci#sens|def01|prev_2015|def01_23  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_24  1|0.178744510|0.176747390|0.180741631
no_cci#sens|def01|prev_2015|def01_24  0|0.000000000||
no_cci#sens|def01|prev_2015|def01_25  1|0.040966370|0.039400796|0.042531943
no_cci#sens|def01|prev_2015|def01_25  0|0.000000000||
no_cci#sens|def01|prev_2015|male      1|-0.027426498|-0.028170700|-0.026682297
no_cci#sens|def01|prev_2015|male      0|0.000000000||
no_cci#sens|def01|prev_2015|age_g     1|-0.009599577|-0.011116592|-0.008082563
no_cci#sens|def01|prev_2015|age_g     2|0.024553747|0.023049240|0.026058253
no_cci#sens|def01|prev_2015|age_g     3|0.041415187|0.039883403|0.042946971
no_cci#sens|def01|prev_2015|age_g     4|0.044257381|0.042779331|0.045735431
no_cci#sens|def01|prev_2015|age_g     5|0.087091871|0.085584634|0.088599108
no_cci#sens|def01|prev_2015|age_g     6|0.167447303|0.165900252|0.168994353
no_cci#sens|def01|prev_2015|age_g     7|0.286688286|0.284937259|0.288439313
no_cci#sens|def01|prev_2015|age_g     8|0.516696288|0.514277732|0.519114844
no_cci#sens|def01|prev_2015|age_g     9|1.005743689|1.000835951|1.010651427
no_cci#sens|def01|prev_2015|age_g     0|0.000000000||
cci#all|def01|prev_2015|Intercept|0.047198263|0.044905475|0.049491051
cci#all|def01|prev_2015|def01_01  1|0.223487172|0.218591293|0.228383052
cci#all|def01|prev_2015|def01_01  0|0.000000000||
cci#all|def01|prev_2015|def01_02  1|0.104523182|0.100135372|0.108910993
cci#all|def01|prev_2015|def01_02  0|0.000000000||
cci#all|def01|prev_2015|def01_03  1|0.313839927|0.304643505|0.323036348
cci#all|def01|prev_2015|def01_03  0|0.000000000||
cci#all|def01|prev_2015|def01_04  1|0.230710801|0.221102476|0.240319126
cci#all|def01|prev_2015|def01_04  0|0.000000000||
cci#all|def01|prev_2015|def01_05  1|0.183152218|0.166240409|0.200064026
cci#all|def01|prev_2015|def01_05  0|0.000000000||
cci#all|def01|prev_2015|def01_06  1|0.860062652|0.854439109|0.865686194
cci#all|def01|prev_2015|def01_06  0|0.000000000||
cci#all|def01|prev_2015|def01_07  1|0.175805569|0.172137417|0.179473722
cci#all|def01|prev_2015|def01_07  0|0.000000000||
cci#all|def01|prev_2015|def01_08  1|0.038786772|0.034546416|0.043027127
cci#all|def01|prev_2015|def01_08  0|0.000000000||
cci#all|def01|prev_2015|def01_09  1|0.177229020|0.170586216|0.183871825
cci#all|def01|prev_2015|def01_09  0|0.000000000||
cci#all|def01|prev_2015|def01_10  1|0.305609864|0.294733366|0.316486361
cci#all|def01|prev_2015|def01_10  0|0.000000000||
cci#all|def01|prev_2015|def01_11  1|0.280965318|0.275407771|0.286522866
cci#all|def01|prev_2015|def01_11  0|0.000000000||
cci#all|def01|prev_2015|def01_12  1|0.038438995|0.034124028|0.042753963
cci#all|def01|prev_2015|def01_12  0|0.000000000||
cci#all|def01|prev_2015|def01_13  1|0.112369401|0.104126189|0.120612614
cci#all|def01|prev_2015|def01_13  0|0.000000000||
cci#all|def01|prev_2015|def01_14  1|0.166275291|0.157065619|0.175484963
cci#all|def01|prev_2015|def01_14  0|0.000000000||
cci#all|def01|prev_2015|def01_15  1|0.560012046|0.548240377|0.571783715
cci#all|def01|prev_2015|def01_15  0|0.000000000||
cci#all|def01|prev_2015|def01_16  1|0.265376927|0.249565348|0.281188506
cci#all|def01|prev_2015|def01_16  0|0.000000000||
cci#all|def01|prev_2015|def01_17  1|0.521410593|0.497728225|0.545092962
cci#all|def01|prev_2015|def01_17  0|0.000000000||
cci#all|def01|prev_2015|def01_18  1|0.577554955|0.565972502|0.589137409
cci#all|def01|prev_2015|def01_18  0|0.000000000||
cci#all|def01|prev_2015|def01_19  1|0.098243610|0.092272478|0.104214742
cci#all|def01|prev_2015|def01_19  0|0.000000000||
cci#all|def01|prev_2015|def01_20  1|0.167133697|0.160343283|0.173924111
cci#all|def01|prev_2015|def01_20  0|0.000000000||
cci#all|def01|prev_2015|def01_21  1|0.580829872|0.574791658|0.586868086
cci#all|def01|prev_2015|def01_21  0|0.000000000||
cci#all|def01|prev_2015|def01_22  1|0.066785103|0.062336015|0.071234191
cci#all|def01|prev_2015|def01_22  0|0.000000000||
cci#all|def01|prev_2015|def01_23  1|0.052555165|0.049137506|0.055972824
cci#all|def01|prev_2015|def01_23  0|0.000000000||
cci#all|def01|prev_2015|def01_24  1|0.163585700|0.159219254|0.167952146
cci#all|def01|prev_2015|def01_24  0|0.000000000||
cci#all|def01|prev_2015|def01_25  1|0.052953160|0.049919825|0.055986495
cci#all|def01|prev_2015|def01_25  0|0.000000000||
cci#all|def01|prev_2015|cci_1     1|0.052140299|0.044804426|0.059476172
cci#all|def01|prev_2015|cci_1     0|0.000000000||
cci#all|def01|prev_2015|cci_2     1|0.382421302|0.375117476|0.389725127
cci#all|def01|prev_2015|cci_2     0|0.000000000||
cci#all|def01|prev_2015|cci_3     1|0.230629878|0.224311446|0.236948310
cci#all|def01|prev_2015|cci_3     0|0.000000000||
cci#all|def01|prev_2015|cci_4     1|0.300048925|0.294635784|0.305462067
cci#all|def01|prev_2015|cci_4     0|0.000000000||
cci#all|def01|prev_2015|cci_6     1|0.218024641|0.214370778|0.221678505
cci#all|def01|prev_2015|cci_6     0|0.000000000||
cci#all|def01|prev_2015|cci_7     1|0.263666981|0.257742214|0.269591749
cci#all|def01|prev_2015|cci_7     0|0.000000000||
cci#all|def01|prev_2015|cci_8     1|0.255788846|0.247162221|0.264415471
cci#all|def01|prev_2015|cci_8     0|0.000000000||
cci#all|def01|prev_2015|cci_9     1|0.207846417|0.197354717|0.218338116
cci#all|def01|prev_2015|cci_9     0|0.000000000||
cci#all|def01|prev_2015|cci_10    1|0.208158343|0.202927417|0.213389269
cci#all|def01|prev_2015|cci_10    0|0.000000000||
cci#all|def01|prev_2015|cci_11    1|0.865321590|0.846261993|0.884381188
cci#all|def01|prev_2015|cci_11    0|0.000000000||
cci#all|def01|prev_2015|cci_12    1|0.583983413|0.576214646|0.591752180
cci#all|def01|prev_2015|cci_12    0|0.000000000||
cci#all|def01|prev_2015|cci_13    1|0.311484087|0.303650750|0.319317424
cci#all|def01|prev_2015|cci_13    0|0.000000000||
cci#all|def01|prev_2015|cci_14    1|0.265021722|0.260922607|0.269120837
cci#all|def01|prev_2015|cci_14    0|0.000000000||
cci#all|def01|prev_2015|cci_15    1|0.813596938|0.793741748|0.833452128
cci#all|def01|prev_2015|cci_15    0|0.000000000||
cci#all|def01|prev_2015|cci_16    1|0.727720778|0.713170284|0.742271273
cci#all|def01|prev_2015|cci_16    0|0.000000000||
cci#all|def01|prev_2015|cci_17    1|0.440261061|0.418125341|0.462396781
cci#all|def01|prev_2015|cci_17    0|0.000000000||
cci#all|def01|prev_2015|cci_18    1|0.786702772|0.774399931|0.799005614
cci#all|def01|prev_2015|cci_18    0|0.000000000||
cci#all|def01|prev_2015|cci_19    1|0.172909720|0.147867928|0.197951513
cci#all|def01|prev_2015|cci_19    0|0.000000000||
cci#all|def01|prev_2015|male      1|-0.037033836|-0.038486358|-0.035581314
cci#all|def01|prev_2015|male      0|0.000000000||
cci#all|def01|prev_2015|age_g     1|-0.005127745|-0.008093019|-0.002162471
cci#all|def01|prev_2015|age_g     2|0.015108961|0.012166173|0.018051750
cci#all|def01|prev_2015|age_g     3|0.028528861|0.025532588|0.031525133
cci#all|def01|prev_2015|age_g     4|0.027423288|0.024531372|0.030315203
cci#all|def01|prev_2015|age_g     5|0.055084948|0.052132625|0.058037270
cci#all|def01|prev_2015|age_g     6|0.111087432|0.108038432|0.114136432
cci#all|def01|prev_2015|age_g     7|0.205424494|0.201943535|0.208905454
cci#all|def01|prev_2015|age_g     8|0.602567942|0.597850519|0.607285364
cci#all|def01|prev_2015|age_g     9|1.646957192|1.638256871|1.655657513
cci#all|def01|prev_2015|age_g     0|0.000000000||
cci#sens|def01|prev_2015|Intercept|0.047036398|0.045901007|0.048171789
cci#sens|def01|prev_2015|def01_01  1|0.119501305|0.117028137|0.121974472
cci#sens|def01|prev_2015|def01_01  0|0.000000000||
cci#sens|def01|prev_2015|def01_02  1|0.086134684|0.083939811|0.088329557
cci#sens|def01|prev_2015|def01_02  0|0.000000000||
cci#sens|def01|prev_2015|def01_03  1|0.178143921|0.173470700|0.182817142
cci#sens|def01|prev_2015|def01_03  0|0.000000000||
cci#sens|def01|prev_2015|def01_04  1|0.143050862|0.138206581|0.147895143
cci#sens|def01|prev_2015|def01_04  0|0.000000000||
cci#sens|def01|prev_2015|def01_05  1|0.132022063|0.123460197|0.140583930
cci#sens|def01|prev_2015|def01_05  0|0.000000000||
cci#sens|def01|prev_2015|def01_06  1|0.262080691|0.259064831|0.265096551
cci#sens|def01|prev_2015|def01_06  0|0.000000000||
cci#sens|def01|prev_2015|def01_07  1|0.105855498|0.104005428|0.107705569
cci#sens|def01|prev_2015|def01_07  0|0.000000000||
cci#sens|def01|prev_2015|def01_08  1|0.030492820|0.028386284|0.032599355
cci#sens|def01|prev_2015|def01_08  0|0.000000000||
cci#sens|def01|prev_2015|def01_09  1|0.079888297|0.076547952|0.083228642
cci#sens|def01|prev_2015|def01_09  0|0.000000000||
cci#sens|def01|prev_2015|def01_10  1|0.086508162|0.081072305|0.091944020
cci#sens|def01|prev_2015|def01_10  0|0.000000000||
cci#sens|def01|prev_2015|def01_11  1|0.133116999|0.130300124|0.135933873
cci#sens|def01|prev_2015|def01_11  0|0.000000000||
cci#sens|def01|prev_2015|def01_12  1|0.055116756|0.052972335|0.057261177
cci#sens|def01|prev_2015|def01_12  0|0.000000000||
cci#sens|def01|prev_2015|def01_13  1|0.054912729|0.050786955|0.059038504
cci#sens|def01|prev_2015|def01_13  0|0.000000000||
cci#sens|def01|prev_2015|def01_14  1|0.074362809|0.069739395|0.078986222
cci#sens|def01|prev_2015|def01_14  0|0.000000000||
cci#sens|def01|prev_2015|def01_15  1|0.351659649|0.345708576|0.357610721
cci#sens|def01|prev_2015|def01_15  0|0.000000000||
cci#sens|def01|prev_2015|def01_16  1|0.140561389|0.132595352|0.148527426
cci#sens|def01|prev_2015|def01_16  0|0.000000000||
cci#sens|def01|prev_2015|def01_17  1|0.200018573|0.187815814|0.212221333
cci#sens|def01|prev_2015|def01_17  0|0.000000000||
cci#sens|def01|prev_2015|def01_18  1|0.294121082|0.288072953|0.300169212
cci#sens|def01|prev_2015|def01_18  0|0.000000000||
cci#sens|def01|prev_2015|def01_19  1|0.060159291|0.057171983|0.063146598
cci#sens|def01|prev_2015|def01_19  0|0.000000000||
cci#sens|def01|prev_2015|def01_20  1|0.134875377|0.131447656|0.138303098
cci#sens|def01|prev_2015|def01_20  0|0.000000000||
cci#sens|def01|prev_2015|def01_21  1|0.244609252|0.241542223|0.247676281
cci#sens|def01|prev_2015|def01_21  0|0.000000000||
cci#sens|def01|prev_2015|def01_22  1|0.075522772|0.073308952|0.077736593
cci#sens|def01|prev_2015|def01_22  0|0.000000000||
cci#sens|def01|prev_2015|def01_23  1|0.049165385|0.047461405|0.050869364
cci#sens|def01|prev_2015|def01_23  0|0.000000000||
cci#sens|def01|prev_2015|def01_24  1|0.101213582|0.099007708|0.103419456
cci#sens|def01|prev_2015|def01_24  0|0.000000000||
cci#sens|def01|prev_2015|def01_25  1|0.035797318|0.034282242|0.037312394
cci#sens|def01|prev_2015|def01_25  0|0.000000000||
cci#sens|def01|prev_2015|cci_1     1|0.066819342|0.063106614|0.070532071
cci#sens|def01|prev_2015|cci_1     0|0.000000000||
cci#sens|def01|prev_2015|cci_2     1|0.269431843|0.265670661|0.273193025
cci#sens|def01|prev_2015|cci_2     0|0.000000000||
cci#sens|def01|prev_2015|cci_3     1|0.179482808|0.176268867|0.182696749
cci#sens|def01|prev_2015|cci_3     0|0.000000000||
cci#sens|def01|prev_2015|cci_4     1|0.112592719|0.109820782|0.115364655
cci#sens|def01|prev_2015|cci_4     0|0.000000000||
cci#sens|def01|prev_2015|cci_6     1|0.169473470|0.167638542|0.171308398
cci#sens|def01|prev_2015|cci_6     0|0.000000000||
cci#sens|def01|prev_2015|cci_7     1|0.233028198|0.230049780|0.236006616
cci#sens|def01|prev_2015|cci_7     0|0.000000000||
cci#sens|def01|prev_2015|cci_8     1|0.141287673|0.136857799|0.145717548
cci#sens|def01|prev_2015|cci_8     0|0.000000000||
cci#sens|def01|prev_2015|cci_9     1|0.129925481|0.124632783|0.135218179
cci#sens|def01|prev_2015|cci_9     0|0.000000000||
cci#sens|def01|prev_2015|cci_10    1|0.169571932|0.166932748|0.172211115
cci#sens|def01|prev_2015|cci_10    0|0.000000000||
cci#sens|def01|prev_2015|cci_11    1|0.466697125|0.456763694|0.476630557
cci#sens|def01|prev_2015|cci_11    0|0.000000000||
cci#sens|def01|prev_2015|cci_12    1|0.244610693|0.240585026|0.248636360
cci#sens|def01|prev_2015|cci_12    0|0.000000000||
cci#sens|def01|prev_2015|cci_13    1|0.188103175|0.184109967|0.192096382
cci#sens|def01|prev_2015|cci_13    0|0.000000000||
cci#sens|def01|prev_2015|cci_14    1|0.238501408|0.236435036|0.240567780
cci#sens|def01|prev_2015|cci_14    0|0.000000000||
cci#sens|def01|prev_2015|cci_15    1|0.401193368|0.391009810|0.411376925
cci#sens|def01|prev_2015|cci_15    0|0.000000000||
cci#sens|def01|prev_2015|cci_16    1|0.415689837|0.408210952|0.423168723
cci#sens|def01|prev_2015|cci_16    0|0.000000000||
cci#sens|def01|prev_2015|cci_17    1|0.229786896|0.218380464|0.241193327
cci#sens|def01|prev_2015|cci_17    0|0.000000000||
cci#sens|def01|prev_2015|cci_18    1|0.584497322|0.578206354|0.590788290
cci#sens|def01|prev_2015|cci_18    0|0.000000000||
cci#sens|def01|prev_2015|cci_19    1|0.176200018|0.163717249|0.188682787
cci#sens|def01|prev_2015|cci_19    0|0.000000000||
cci#sens|def01|prev_2015|male      1|-0.030241107|-0.030962990|-0.029519224
cci#sens|def01|prev_2015|male      0|0.000000000||
cci#sens|def01|prev_2015|age_g     1|-0.007802641|-0.009270608|-0.006334675
cci#sens|def01|prev_2015|age_g     2|0.029269340|0.027812448|0.030726232
cci#sens|def01|prev_2015|age_g     3|0.042234969|0.040751455|0.043718483
cci#sens|def01|prev_2015|age_g     4|0.037554501|0.036122401|0.038986601
cci#sens|def01|prev_2015|age_g     5|0.063533124|0.062070176|0.064996073
cci#sens|def01|prev_2015|age_g     6|0.110584548|0.109071433|0.112097663
cci#sens|def01|prev_2015|age_g     7|0.186490791|0.184755941|0.188225642
cci#sens|def01|prev_2015|age_g     8|0.379468965|0.377071788|0.381866142
cci#sens|def01|prev_2015|age_g     9|0.875640643|0.870857756|0.880423529
cci#sens|def01|prev_2015|age_g     0|0.000000000||
no_cci#all|def02|prev_2015|Intercept|0.051387355|0.049056501|0.053718208
no_cci#all|def02|prev_2015|def02_01  1|0.168517873|0.164670291|0.172365455
no_cci#all|def02|prev_2015|def02_01  0|0.000000000||
no_cci#all|def02|prev_2015|def02_02  1|0.066681407|0.063565677|0.069797138
no_cci#all|def02|prev_2015|def02_02  0|0.000000000||
no_cci#all|def02|prev_2015|def02_03  1|0.300350422|0.292230835|0.308470010
no_cci#all|def02|prev_2015|def02_03  0|0.000000000||
no_cci#all|def02|prev_2015|def02_04  1|0.260705958|0.250925658|0.270486259
no_cci#all|def02|prev_2015|def02_04  0|0.000000000||
no_cci#all|def02|prev_2015|def02_05  1|0.378051643|0.361354122|0.394749164
no_cci#all|def02|prev_2015|def02_05  0|0.000000000||
no_cci#all|def02|prev_2015|def02_06  1|0.818225046|0.812634497|0.823815594
no_cci#all|def02|prev_2015|def02_06  0|0.000000000||
no_cci#all|def02|prev_2015|def02_07  1|0.131998132|0.129717572|0.134278693
no_cci#all|def02|prev_2015|def02_07  0|0.000000000||
no_cci#all|def02|prev_2015|def02_08  1|0.018643848|0.014322188|0.022965508
no_cci#all|def02|prev_2015|def02_08  0|0.000000000||
no_cci#all|def02|prev_2015|def02_09  1|0.190110521|0.183478097|0.196742945
no_cci#all|def02|prev_2015|def02_09  0|0.000000000||
no_cci#all|def02|prev_2015|def02_10  1|0.305214528|0.294142489|0.316286567
no_cci#all|def02|prev_2015|def02_10  0|0.000000000||
no_cci#all|def02|prev_2015|def02_11  1|0.322914493|0.317264366|0.328564620
no_cci#all|def02|prev_2015|def02_11  0|0.000000000||
no_cci#all|def02|prev_2015|def02_12  1|0.017096619|0.014254378|0.019938861
no_cci#all|def02|prev_2015|def02_12  0|0.000000000||
no_cci#all|def02|prev_2015|def02_13  1|0.135386816|0.126993557|0.143780074
no_cci#all|def02|prev_2015|def02_13  0|0.000000000||
no_cci#all|def02|prev_2015|def02_14  1|0.171437714|0.162058273|0.180817155
no_cci#all|def02|prev_2015|def02_14  0|0.000000000||
no_cci#all|def02|prev_2015|def02_15  1|0.547549926|0.535560221|0.559539632
no_cci#all|def02|prev_2015|def02_15  0|0.000000000||
no_cci#all|def02|prev_2015|def02_16  1|0.332291295|0.316194864|0.348387727
no_cci#all|def02|prev_2015|def02_16  0|0.000000000||
no_cci#all|def02|prev_2015|def02_17  1|0.524427110|0.500309866|0.548544353
no_cci#all|def02|prev_2015|def02_17  0|0.000000000||
no_cci#all|def02|prev_2015|def02_18  1|0.292715817|0.284418777|0.301012858
no_cci#all|def02|prev_2015|def02_18  0|0.000000000||
no_cci#all|def02|prev_2015|def02_19  1|0.098827015|0.092792060|0.104861971
no_cci#all|def02|prev_2015|def02_19  0|0.000000000||
no_cci#all|def02|prev_2015|def02_20  1|0.306530086|0.299671140|0.313389031
no_cci#all|def02|prev_2015|def02_20  0|0.000000000||
no_cci#all|def02|prev_2015|def02_21  1|0.576892434|0.570748290|0.583036577
no_cci#all|def02|prev_2015|def02_21  0|0.000000000||
no_cci#all|def02|prev_2015|def02_22  1|0.095775875|0.093625104|0.097926646
no_cci#all|def02|prev_2015|def02_22  0|0.000000000||
no_cci#all|def02|prev_2015|def02_23  1|0.046679364|0.043212616|0.050146112
no_cci#all|def02|prev_2015|def02_23  0|0.000000000||
no_cci#all|def02|prev_2015|def02_24  1|0.329154073|0.325284018|0.333024128
no_cci#all|def02|prev_2015|def02_24  0|0.000000000||
no_cci#all|def02|prev_2015|def02_25  1|0.057975955|0.054885431|0.061066480
no_cci#all|def02|prev_2015|def02_25  0|0.000000000||
no_cci#all|def02|prev_2015|male      1|-0.020656761|-0.022144261|-0.019169261
no_cci#all|def02|prev_2015|male      0|0.000000000||
no_cci#all|def02|prev_2015|age_g     1|-0.012556347|-0.015578199|-0.009534495
no_cci#all|def02|prev_2015|age_g     2|-0.008396359|-0.011404758|-0.005387961
no_cci#all|def02|prev_2015|age_g     3|0.001246524|-0.001826664|0.004319713
no_cci#all|def02|prev_2015|age_g     4|0.005073096|0.002098805|0.008047386
no_cci#all|def02|prev_2015|age_g     5|0.053377389|0.050343515|0.056411262
no_cci#all|def02|prev_2015|age_g     6|0.155690895|0.152582367|0.158799423
no_cci#all|def02|prev_2015|age_g     7|0.305387548|0.301878498|0.308896598
no_cci#all|def02|prev_2015|age_g     8|0.751973913|0.747238021|0.756709806
no_cci#all|def02|prev_2015|age_g     9|1.788376077|1.779564763|1.797187391
no_cci#all|def02|prev_2015|age_g     0|0.000000000||
no_cci#sens|def02|prev_2015|Intercept|0.050988764|0.049819938|0.052157590
no_cci#sens|def02|prev_2015|def02_01  1|0.098721593|0.096765488|0.100677698
no_cci#sens|def02|prev_2015|def02_01  0|0.000000000||
no_cci#sens|def02|prev_2015|def02_02  1|0.046269835|0.044689120|0.047850551
no_cci#sens|def02|prev_2015|def02_02  0|0.000000000||
no_cci#sens|def02|prev_2015|def02_03  1|0.159626415|0.155452637|0.163800192
no_cci#sens|def02|prev_2015|def02_03  0|0.000000000||
